11.1125 	EXP 	New trial (rep=0, index=4): {u'congruent': 0L, u'word': u'blue', u'corrAns': u'left', u'letterColor': u'red'}
11.1270 	EXP 	fixationPoint: autoDraw = False
11.1270 	EXP 	stroopText: autoDraw = False
11.1270 	EXP 	stroopText: color = u'red (named)'
11.1270 	EXP 	stroopText: text = u'blue'
11.1270 	EXP 	fixationPoint: autoDraw = True
11.6262 	EXP 	fixationPoint: autoDraw = False
11.6430 	EXP 	stroopText: autoDraw = True
11.8127 	DATA 	Keypress: right
11.8145 	EXP 	New trial (rep=0, index=5): {u'congruent': 1L, u'word': u'red', u'corrAns': u'left', u'letterColor': u'red'}
11.8267 	EXP 	fixationPoint: autoDraw = False
11.8267 	EXP 	stroopText: autoDraw = False
11.8267 	EXP 	stroopText: color = u'red (named)'
11.8267 	EXP 	stroopText: text = u'red'
11.8267 	EXP 	fixationPoint: autoDraw = True
12.3282 	EXP 	fixationPoint: autoDraw = False
12.3447 	EXP 	stroopText: autoDraw = True
12.5646 	DATA 	Keypress: right
12.5663 	EXP 	New trial (rep=0, index=6): {u'congruent': 1L, u'word': u'blue', u'corrAns': u'right', u'letterColor': u'blue'}
12.5786 	EXP 	fixationPoint: autoDraw = False
12.5786 	EXP 	stroopText: autoDraw = False
12.5786 	EXP 	stroopText: color = u'blue (named)'
12.5786 	EXP 	stroopText: text = u'blue'
12.5786 	EXP 	fixationPoint: autoDraw = True
13.0802 	EXP 	fixationPoint: autoDraw = False
13.0970 	EXP 	stroopText: autoDraw = True
13.2999 	DATA 	Keypress: right
13.3017 	EXP 	New trial (rep=0, index=7): {u'congruent': 0L, u'word': u'blue', u'corrAns': u'down', u'letterColor': u'green'}
13.3142 	EXP 	fixationPoint: autoDraw = False
13.3142 	EXP 	stroopText: autoDraw = False
13.3142 	EXP 	stroopText: color = u'green (named)'
13.3142 	EXP 	stroopText: text = u'blue'
13.3142 	EXP 	fixationPoint: autoDraw = True
13.5173 	DATA 	Keypress: escape
