35.5280 	EXP 	New trial (rep=0, index=5): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', -500), ('corrAns', u'left'), ('valid', 0), ('SOA_frames', 12)])
35.5418 	EXP 	cue: autoDraw = False
35.5418 	EXP 	target: autoDraw = False
35.5418 	EXP 	fixationITI: autoDraw = True
36.5607 	EXP 	fixationITI: autoDraw = False
36.5607 	EXP 	fixationITI: autoDraw = False
36.5607 	EXP 	cue: ori = 90.0
36.5607 	EXP 	target: pos = array([-500.,    0.])
36.5607 	EXP 	cue: autoDraw = True
36.7607 	EXP 	cue: autoDraw = False
36.7607 	EXP 	target: autoDraw = True
37.1609 	DATA 	Keypress: left
37.1616 	EXP 	New trial (rep=0, index=6): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 12)])
37.1769 	EXP 	cue: autoDraw = False
37.1769 	EXP 	target: autoDraw = False
37.1769 	EXP 	fixationITI: autoDraw = True
38.4100 	EXP 	fixationITI: autoDraw = False
38.4100 	EXP 	fixationITI: autoDraw = False
38.4100 	EXP 	cue: ori = -90.0
38.4100 	EXP 	target: pos = array([-500.,    0.])
38.4100 	EXP 	cue: autoDraw = True
38.6100 	EXP 	cue: autoDraw = False
38.6100 	EXP 	target: autoDraw = True
38.9289 	DATA 	Keypress: left
38.9440 	EXP 	New trial (rep=0, index=7): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 6)])
38.9608 	EXP 	cue: autoDraw = False
38.9608 	EXP 	target: autoDraw = False
38.9608 	EXP 	fixationITI: autoDraw = True
40.1602 	EXP 	fixationITI: autoDraw = False
40.1602 	EXP 	fixationITI: autoDraw = False
40.1602 	EXP 	cue: ori = 90.0
40.1602 	EXP 	target: pos = array([ 500.,    0.])
40.1602 	EXP 	cue: autoDraw = True
40.2601 	EXP 	cue: autoDraw = False
40.2601 	EXP 	target: autoDraw = True
40.5450 	DATA 	Keypress: right
40.5457 	EXP 	New trial (rep=0, index=8): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 24)])
40.5602 	EXP 	cue: autoDraw = False
40.5602 	EXP 	target: autoDraw = False
40.5602 	EXP 	fixationITI: autoDraw = True
41.6454 	EXP 	fixationITI: autoDraw = False
41.6454 	EXP 	fixationITI: autoDraw = False
41.6454 	EXP 	cue: ori = 90.0
41.6454 	EXP 	target: pos = array([ 500.,    0.])
41.6454 	EXP 	cue: autoDraw = True
42.0454 	EXP 	cue: autoDraw = False
42.0454 	EXP 	target: autoDraw = True
42.3132 	DATA 	Keypress: right
42.3545 	EXP 	New trial (rep=0, index=9): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 48)])
42.3609 	EXP 	cue: autoDraw = False
42.3609 	EXP 	target: autoDraw = False
42.3609 	EXP 	fixationITI: autoDraw = True
43.4614 	EXP 	fixationITI: autoDraw = False
43.4614 	EXP 	fixationITI: autoDraw = False
43.4614 	EXP 	cue: ori = -90.0
43.4614 	EXP 	target: pos = array([ 500.,    0.])
43.4614 	EXP 	cue: autoDraw = True
44.2615 	EXP 	cue: autoDraw = False
44.2615 	EXP 	target: autoDraw = True
44.4956 	DATA 	Keypress: left
44.4963 	EXP 	New trial (rep=0, index=10): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 48)])
44.5115 	EXP 	cue: autoDraw = False
44.5115 	EXP 	target: autoDraw = False
