6.4774 	EXP 	window1: blendMode = 'avg'
6.4943 	EXP 	window1: blendMode = 'avg'
6.5103 	EXP 	window1: blendMode = 'avg'
6.5274 	EXP 	window1: blendMode = 'avg'
6.5443 	EXP 	window1: blendMode = 'avg'
6.5603 	EXP 	window1: blendMode = 'avg'
6.5775 	EXP 	window1: blendMode = 'avg'
6.5943 	EXP 	window1: blendMode = 'avg'
6.6105 	EXP 	window1: blendMode = 'avg'
6.6274 	EXP 	window1: blendMode = 'avg'
6.6443 	EXP 	window1: blendMode = 'avg'
6.6603 	EXP 	window1: blendMode = 'avg'
6.6775 	EXP 	window1: blendMode = 'avg'
6.6943 	EXP 	window1: blendMode = 'avg'
6.7105 	EXP 	window1: blendMode = 'avg'
6.7274 	EXP 	window1: blendMode = 'avg'
6.7445 	EXP 	window1: blendMode = 'avg'
6.7605 	EXP 	window1: blendMode = 'avg'
6.7776 	EXP 	window1: blendMode = 'avg'
6.7943 	EXP 	window1: blendMode = 'avg'
6.8102 	EXP 	window1: blendMode = 'avg'
6.8274 	EXP 	window1: blendMode = 'avg'
6.8445 	EXP 	window1: blendMode = 'avg'
6.8606 	EXP 	window1: blendMode = 'avg'
6.8775 	EXP 	window1: blendMode = 'avg'
6.8942 	EXP 	window1: blendMode = 'avg'
6.9106 	EXP 	window1: blendMode = 'avg'
6.9274 	EXP 	window1: blendMode = 'avg'
6.9443 	EXP 	window1: blendMode = 'avg'
6.9603 	EXP 	window1: blendMode = 'avg'
6.9775 	EXP 	window1: blendMode = 'avg'
6.9943 	EXP 	window1: blendMode = 'avg'
7.0106 	EXP 	window1: blendMode = 'avg'
7.0274 	EXP 	window1: blendMode = 'avg'
7.0444 	EXP 	window1: blendMode = 'avg'
7.0604 	EXP 	window1: blendMode = 'avg'
7.0777 	EXP 	window1: blendMode = 'avg'
7.0936 	EXP 	window1: blendMode = 'avg'
7.1105 	EXP 	window1: blendMode = 'avg'
7.1273 	EXP 	window1: blendMode = 'avg'
7.1443 	EXP 	window1: blendMode = 'avg'
7.1606 	EXP 	window1: blendMode = 'avg'
7.1775 	EXP 	window1: blendMode = 'avg'
7.1944 	EXP 	window1: blendMode = 'avg'
7.2113 	EXP 	window1: blendMode = 'avg'
7.2273 	EXP 	window1: blendMode = 'avg'
7.2445 	EXP 	window1: blendMode = 'avg'
7.2603 	EXP 	window1: blendMode = 'avg'
7.2775 	EXP 	window1: blendMode = 'avg'
7.2944 	EXP 	window1: blendMode = 'avg'
7.3105 	EXP 	window1: blendMode = 'avg'
7.3274 	EXP 	window1: blendMode = 'avg'
7.3445 	EXP 	window1: blendMode = 'avg'
7.3605 	EXP 	window1: blendMode = 'avg'
7.3774 	EXP 	window1: blendMode = 'avg'
7.3945 	EXP 	window1: blendMode = 'avg'
7.4104 	EXP 	window1: blendMode = 'avg'
7.4274 	EXP 	window1: blendMode = 'avg'
7.4444 	EXP 	window1: blendMode = 'avg'
7.4604 	EXP 	window1: blendMode = 'avg'
7.4775 	EXP 	window1: blendMode = 'avg'
